campaign,trial_id,policy,final_error_km,mean_error_km,rms_error_km,p95_error_km,max_error_km,blackout_mean_km,non_blackout_mean_km,n_pulsars,toa_sigma_us,position_offset_km,sweep_label,timing_mean_m,timing_final_m,timing_p95_m,steady_state_mean_km,steady_state_rms_km
main_elfo,0,xnav_only,3.850134823878879,0.6549331696602698,2.760853625409726,1.84466897167608,74.58731811005852,0.45280461053480603,1.0164870711945504,5,1.0,74.5873181125018,,nan,nan,nan,0.7847059791657376,0.9799937113468252
main_elfo,0,gnss_only,4.959169509225809,7.420059649688865,15.876573046741182,45.4395924261495,74.58731810704015,0.460062271030673,19.869632425598585,5,1.0,74.5873181125018,,12949.316307989158,545.4447309902007,50170.158271009655,0.8088090187597046,1.0685334481615067
main_elfo,0,hybrid,1.0911376547417138,0.5178306467373699,2.703595002794238,1.016382541599521,74.58731811279306,0.47033501873005595,0.6027876151448187,5,1.0,74.5873181125018,,231.64336218249517,571.7834824437041,815.8982881495549,0.7779162063178371,0.9362493851679935
main_elfo,1,xnav_only,3.638579688635081,0.6721885730524618,3.1826873717688158,1.809356652298156,86.92891674606068,0.4622008029452616,1.0478004998639325,5,1.0,86.92891674401906,,nan,nan,nan,0.7700858150749477,0.9625542583427822
main_elfo,1,gnss_only,4.984276075276526,7.227721673094999,16.39354561330017,45.65760872047737,86.92891674079395,0.45392624168528306,19.344228994067308,5,1.0,86.92891674401906,,12556.789955868997,569.9488326516462,50690.634891465495,0.8156573998147105,1.0528497978603037
main_elfo,1,hybrid,1.150576257509551,0.5203958470716601,3.1334457310759842,1.0978954892366832,86.92891674476046,0.4596626129581343,0.6290313503451497,5,1.0,86.92891674401906,,227.26412517367146,608.1442660323751,853.4786803103702,0.7251673668697921,0.8869023763702276
main_elfo,2,xnav_only,3.765126355806285,0.6512069924320371,2.5402535790693954,1.902330876923399,68.05374940224702,0.46568427495284254,0.9830574870779202,5,1.0,68.0537494025796,,nan,nan,nan,0.7986107948053668,0.9944505238188176
main_elfo,2,gnss_only,4.851361025111279,7.727143325131246,17.17510444489629,48.13935385975641,75.00687515911252,0.4600501902693717,20.726028228334886,5,1.0,68.0537494025796,,13520.116945749322,477.5044331701815,59562.739994924676,0.8048348685163699,1.0482133613093336
main_elfo,2,hybrid,1.1542779778558678,0.4942986377446775,2.4736176843783078,1.0600694983238537,68.05374939946492,0.4527090678739062,0.5686912486402825,5,1.0,68.0537494025796,,230.5256457842288,608.9566012537878,820.6739336311966,0.7324117958509921,0.8880760233190664
main_elfo,3,xnav_only,3.859285016097907,0.6829313210962092,3.290972175188258,1.8018453595916875,90.01829935732201,0.45752840551531937,1.0861168179803362,5,1.0,90.01829936112986,,nan,nan,nan,0.7929003194042468,1.0113727440134912
main_elfo,3,gnss_only,4.887575342558065,7.596105207002847,14.979647445607517,37.500855538258904,90.01829936060555,0.4513205505225738,20.376212972819676,5,1.0,90.01829936112986,,13239.855558734736,481.61156229952053,43353.509517535895,0.7897047399852044,1.0276528364571706
main_elfo,3,hybrid,0.9755489093114987,0.5186702737393463,3.239712527002702,1.047648474854577,90.01829935784556,0.4485001655102793,0.6441858194448604,5,1.0,90.01829936112986,,225.16049021554838,510.6272875393456,783.8765231430007,0.7188168175269988,0.858474511358717
main_elfo,4,xnav_only,3.709875418908148,0.6897993836347517,3.306077237052928,1.8981774293259075,90.42252456896,0.4690346756240276,1.084688368386329,5,1.0,90.42252456449206,,nan,nan,nan,0.8088697901724661,1.0008391092023183
main_elfo,4,gnss_only,4.908692334121611,7.3652425472475915,15.512071792852808,44.045905931811895,90.42252456236321,0.4375517248356328,19.757027539449265,5,1.0,90.42252456449206,,12834.401506502392,483.67890263013976,50613.96583534885,0.7568166885208053,1.0102639237606188
main_elfo,4,hybrid,1.09165403268075,0.5326984075730183,3.2565376829436823,1.1008260896126592,90.42252456728696,0.4638885916769526,0.655780754316685,5,1.0,90.42252456449206,,228.73824299959145,575.7668986705003,872.1353523953303,0.7445910437923279,0.8966458639045329
main_elfo,5,xnav_only,3.7009418901769986,0.6082776351018953,1.374593340158084,1.8849256825472385,31.98237697815267,0.4609577432101954,0.8717934980631046,5,1.0,31.98237698018241,,nan,nan,nan,0.7778575123831967,0.9760787017629126
main_elfo,5,gnss_only,4.685187256990555,6.200043567905059,12.103804427432804,31.637390241875217,53.08629077188366,0.4384286803931652,16.50603076106014,5,1.0,31.98237698018241,,10839.81421914889,340.7511653436793,36852.78685697585,0.780412362183471,1.0270342716991403
main_elfo,5,hybrid,1.039131849702588,0.4456306937955802,1.2494103588633867,1.0131338977578994,31.982376981094152,0.44851763572403935,0.4404667272474911,5,1.0,31.98237698018241,,228.46036517566256,551.0590635524513,828.286952108028,0.7240538387864754,0.8880792634791388
main_elfo,6,xnav_only,3.713859298423289,0.6546857079319908,2.7090549218134874,1.8774426537930677,73.07695779960015,0.4474100364524515,1.0254464160714485,5,1.0,73.07695780368776,,nan,nan,nan,0.7647040330242618,0.9798118087219898
main_elfo,6,gnss_only,4.877180975355334,8.118855015131118,16.897372980693053,47.535433482577766,73.0769578015059,0.4498305207294469,21.836687561455232,5,1.0,73.07695780368776,,14244.410290777147,455.59982382758926,56998.79002150035,0.7767834432879145,1.0218688198091097
main_elfo,6,hybrid,1.0243818720650322,0.5140800022906163,2.6495190334339687,1.055394067042394,73.07695780307819,0.4607845191847027,0.6094113593955606,5,1.0,73.07695780368776,,229.450036257978,538.4734395824653,778.1848719999562,0.7490692618172591,0.8776885922803134
main_elfo,7,xnav_only,3.620460386477775,0.6580176233255824,2.875673762199884,1.7815566705540886,77.98793891717197,0.45039393523457827,1.029400840051745,5,1.0,77.98793891364863,,nan,nan,nan,0.7449745058654766,0.9329026712087818
main_elfo,7,gnss_only,4.988220479897588,8.436638460988174,16.669915782481944,44.33596687225138,77.98793891285054,0.4589004758180529,22.706676828827685,5,1.0,77.98793891364863,,14807.615405289293,539.7009446870372,50660.24257758713,0.787251046282562,1.0420083254786014
main_elfo,7,hybrid,1.199529483270841,0.5050615367422631,2.8187243724935223,1.0159102303509007,77.98793891343666,0.4469782231555581,0.6089570413269325,5,1.0,77.98793891364863,,229.956637939032,629.1838361537648,773.0347658926386,0.6761236845126465,0.8276488180592844
main_elfo,8,xnav_only,3.769212705705114,0.6137106886541008,1.5986607147244611,1.811232819151125,39.456755350583855,0.46550002909520927,0.8788198965974705,5,1.0,39.45675535156878,,nan,nan,nan,0.762782398491905,0.9658134261966226
main_elfo,8,gnss_only,4.925618959229668,9.23849598703811,18.24567177659478,47.70151930850096,66.62717636108694,0.4590099058375429,24.942647146368703,5,1.0,39.45675535156878,,16373.72478125763,528.636300494224,58298.10055549355,0.7760715736941837,1.0299223592696793
main_elfo,8,hybrid,1.1698239640351915,0.45948601807701395,1.4973105351237712,1.0942705670336854,39.456755354073756,0.4550648593561291,0.4673942879016955,5,1.0,39.45675535156878,,229.36993093658717,618.9337242261538,780.0034659842303,0.7277533472275949,0.8811721678469864
main_elfo,9,xnav_only,3.7105480138392677,0.6493288195451841,2.40513070924658,1.8912108088609845,64.0084751176301,0.46191932006232683,0.9845542622821257,5,1.0,64.00847511822523,,nan,nan,nan,0.789025887338085,1.0214493502691633
main_elfo,9,gnss_only,4.741305115257531,7.310116521843973,14.349969961224712,38.21093726414249,64.008475117718,0.4575940080454682,19.56744552539904,5,1.0,64.00847511822523,,12777.768871764556,396.2166288750552,41075.000555862585,0.76157451727445,1.0218108790983227
main_elfo,9,hybrid,1.0853129172679459,0.492390247293283,2.3325469636790666,0.9651909112776186,64.00847511266535,0.44579272544557846,0.5757407441194591,5,1.0,64.00847511822523,,236.56708842652466,571.9916588309773,830.1446468547479,0.7153984347246204,0.8715531989450017
main_elfo,10,xnav_only,3.8029031130170887,0.6529572813062554,2.6070923594160447,1.8950908075779287,70.00708815117366,0.45593345065278457,1.0053801896582382,5,1.0,70.00708815108327,,nan,nan,nan,0.77625306382216,0.9842633514334439
main_elfo,10,gnss_only,4.809390803484317,7.053895658269161,14.915675459880237,43.013255968024545,70.00708815417579,0.4458093107122963,18.87399377291313,5,1.0,70.00708815108327,,12304.982811675927,469.3227446210569,47408.67001610932,0.7632665395188446,1.0204018383496767
main_elfo,10,hybrid,1.106594588448154,0.4962537545038463,2.541431531764768,1.0068132876589215,70.00708815360929,0.4541067576912998,0.5716434530276971,5,1.0,70.00708815108327,,224.9861115970517,581.4796681696159,766.3488283495636,0.7351739745746851,0.8955596718937968
main_elfo,11,xnav_only,3.6655413691399334,0.6302954735067052,2.178688910459327,1.8007595613877794,57.41333003723046,0.4501640910340909,0.9525023125774378,5,1.0,57.41333003697129,,nan,nan,nan,0.7456463526845233,0.9522714815944804
main_elfo,11,gnss_only,4.949087091346965,8.497395578148302,16.799747450304626,45.93147234472985,61.9378099263836,0.44766296489725976,22.896213069456504,5,1.0,57.41333003697129,,14990.5507124024,546.2554121314322,49598.2933830494,0.7886490797561776,1.0360598029990244
main_elfo,11,hybrid,1.1731861625242386,0.47115571111429,2.103035661263905,1.1206832572763348,57.413330032207085,0.44192962610160086,0.5234333561369874,5,1.0,57.41333003697129,,216.20282582143258,617.508215096939,758.2873419468849,0.6970151463622474,0.8763052498935507
main_elfo,12,xnav_only,3.706321603540553,0.6001955563131866,1.4883220702578612,1.8217208308731128,35.8810740474447,0.44894554626235894,0.8707413489393147,5,1.0,35.88107405076694,,nan,nan,nan,0.7143128431409117,0.924789833387021
