predict_mode,toa_sigma_us,policy,final_mean_km,final_p95_km,blackout_mean_km,timing_mean_m,timing_final_m,timing_p95_m
filter_predict,0.1,xnav_only,0.341,0.361,0.069,nan,nan,nan
filter_predict,0.1,gnss_only,6.94,7.021,0.069,533847.374044243,1071.4880715217955,1881638.814631908
filter_predict,0.1,hybrid,0.226,0.261,0.069,47.88537106809106,117.13921283519997,148.53703106732195
filter_predict,1.0,xnav_only,7.389,7.586,1.235,nan,nan,nan
filter_predict,1.0,gnss_only,10.442,10.643,1.233,532626.5080272977,3193.654022576401,1873228.143049406
filter_predict,1.0,hybrid,3.094,3.174,1.235,578.0103027935935,1628.1396253826301,2201.283588562362
filter_predict,10.0,xnav_only,16.228,16.409,13.23,nan,nan,nan
filter_predict,10.0,gnss_only,10.952,11.239,13.159,534532.3510800025,3536.6623777570176,1872499.2892568647
filter_predict,10.0,hybrid,4.125,4.285,13.171,4414.995726131635,2169.114550660356,13075.586631281409
